關卡,tid(命名規則 <單元>XX),內容,正確答案,類型,問題,答案,,,,,,,,,,,,,
5,569,快問快答測驗,,動作,,,,,,,,,,,,,,,
5,571,得分高,,動作,,,,,,,,,,,,,,,
5,572,得分中,,動作,,,,,,,,,,,,,,,
5,573,得分低,,動作,,,,,,,,,,,,,,,
5,574,單元結束,,關卡結束,,,,,,,,,,,,,,,
6,600,第六單元開始,,關卡開始,,,,,,,,,,,,,,,
6,601,完成線圈,,動作,,,,,,,,,,,,,,,
6,602,觀察線圈轉動,,動作,,,,,,,,,,,,,,,
6,603,自製馬達的旋轉方式?,0,問題,自製馬達的旋轉方式?,固定方向轉動/不斷變換方向的轉動,,,,,,,,,,,,,
6,604,因沒有動作獲得提示(1),,提示,,,,,,,,,,,,,,,
6,605,安裝喇叭,,動作,,,,,,,,,,,,,,,
6,606,安裝感測器,,動作,,,,,,,,,,,,,,,
6,607,安裝風扇,,動作,,,,,,,,,,,,,,,
6,608,安裝抽水馬達,,動作,,,,,,,,,,,,,,,
6,609,第六單元結束,,關卡結束,,,,,,,,,,,,,,,
